"","session","auditrate","taxrate","period","subject","sujeto","group","grupo","profit","ncorrectret","profitret","declared","deduction","totaldeduction","cheat","type","audited","fine","deductionsgroup","receivedfromgroup","taxrateproposed","ncorrectsum","groupdg","profitdg","proposerdg","offerdg","age_subject","gender","trust","ideology","income","publictransport","taxes","drivingfast","moneyfound","lying","accidentaldamage","litter","drivingalcohol","jobapplication","buyingstolen","profitriskav","dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","dec10","hljump","safechoices","guessm2","guessm3","rankincome","lowincome","chile","init_pred","avg_pred","pred_correct","realdie","digitaldie","digitaldielie","lastroll","timeokdeclareok","subj_id","country","sess_code","totalprofit","timeokinitialinfook","timeokretaddingok","timeokresultsok","sess_id","audit","pred0","pred1","pred2","tax_20","tax_30","timedictator","timeokinicialriskaversionok","timeokloteriasok","lendmoney","lendstuff","dooropen","trustworthy","redistrib1","redistrib2","redistrib3","redistrib4","redistrib5","redistrib6","anx1","anx2","anx3","anx4","econself","nosecure","econcountrypers","econselfpers","digitaldie_actual","timeactualdiceok","timedigitaldiceok","econlosejob","own1","own2","own3","own4","own5","own6","own7","subjectivestatus2","norms","subjectivestatus1","own8","declared_frac","russia","oxford","shock","status","ncorrect_subjav","ncorrect_countrymed","ability_high","hh","amax","period1","c1","c2","c3","c4","c5","c6","c7","c8","c9","father_educ1","mother_educ1","family1","employment1","a51","b11","b21","b31","b41","b51","b61","b71","b81","social_active","parents_edhigh","grades_rating","grades_total","grades_calculus","grades_eligible","grades_relrating_inv","nosibling","T10","T20","T30","T40","T50","EndT","AR0","AR30","AR70","AR100","percevaded","difsalaries","highsalary","receiveshock","cost_comply","perform_high","non_fixed","subj_id1","avg_RET","treatment","treatment_lab","treatment2","treatment2_lab","HighTax"
"19480",104,30,10,10,2,NA,2,NA,NA,12,1800,900,NA,NA,1,NA,0,NA,NA,NA,NA,NA,1,1000,1,0,20,1,0,5,7,3,4,2,4,3,1,2,1,3,2,NA,0,0,0,0,0,0,1,1,1,1,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,22,10402,"Russia","131210_1638","21618.75",NA,3,27,4,1,NA,NA,NA,0,0,22,28,-209,2,3,2,3,3,1,2,0,3,2,0,2,3,2,3,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03077065944672,NA,NA,0.5,1,0,0,0,NA,NA,0,7,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0.5,NA,NA,NA,180,1,0,10402,13.5500001907349,1,"Baseline",1,"Baseline",0
"20746",108,0,20,6,10,NA,3,NA,NA,15,2250,120,24,24,1,NA,0,0,24,NA,NA,NA,5,500,1,500,23,1,0,5,2,2,1,2,1,2,1,1,1,3,1,NA,0,0,0,0,0,1,1,1,1,1,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,10810,"Russia","141128_1512","12605.1",NA,1,NA,8,0,NA,NA,NA,1,0,24,25,-146,2,3,4,3,0,0,1,2,3,0,1,0,2,3,2,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22314417362213,NA,NA,0.0533333346247673,1,0,0,0,13.8000001907349,11.0500001907349,1,6,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0.946666657924652,NA,NA,NA,450,1,0,10810,13.6499996185303,4,"Redistribution",6,"Redistribution",1
"18472",50,0,20,8,12,1168,4,-1,2108.75,14,2100,0,0,0,1,-1,0,0,35,8.75,-1,14,4,500,1,500,19,1,0,5,14,2,1,3,3,3,3,2,1,1,1,1.60000002384186,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,3,2.66666674613953,NA,6,4,0,6,28,501168,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,420,0,1,NA,10.3000001907349,1,"Baseline",NA,NA,1
"20275",106,30,20,5,10,NA,4,NA,NA,12,1800,1800,360,360,0,NA,1,0,1260,NA,NA,NA,5,0,0,0,22,1,1,7,7,3,3,4,4,3,3,1,1,1,3,NA,0,0,1,1,1,1,1,1,1,1,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,17,10610,"Russia","131211_1642","8368.5",NA,3,25,6,1,NA,NA,NA,1,0,23,29,-163,3,3,4,2,2,0,4,1,3,1,1,2,2,2,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18896007537842,NA,NA,1,1,0,0,0,NA,NA,0,3,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,360,1,0,10610,11.8999996185303,1,"Baseline",1,"Baseline",1
"12079",29,0,20,7,12,604,1,149,2830,12,3100,3100,620,620,0,1,0,0,1400,350,-1,12,9,500,0,450,21,0,1,3,16,3,3,3,2,2,1,1,1,3,1,1.60000002384186,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,29604,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,NA,1,620,1,0,NA,11,3,"Shock",5,"Shock (Yes)",1
"12812",31,10,10,2,13,641,4,161,1495,15,1500,1500,150,150,0,2,0,0,580,145,-1,15,8,900,1,100,20,1,0,3,88,3,1,2,3,1,1,1,1,1,1,1.60000002384186,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25,31641,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,150,1,0,NA,15.25,2,"Status",2,"Status (Low)",0
"17248",46,20,10,10,3,863,4,219,1493.75,10,1500,1500,150,150,0,-1,0,0,575,143.75,-1,10,3,500,1,500,23,0,0,7,16,2,1,2,3,1,1,1,1,3,1,1.60000002384186,0,0,0,0,0,0,0,1,1,1,8,7,-1,-1,-1,-1,1,4,4,0.333333343267441,2,1,0,1,23,46863,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,150,0,1,NA,7.69999980926514,5,"Non-fixed",7,"Non-fixed",0
"12631",31,0,10,5,4,632,4,161,1187.5,6,1200,1200,120,120,0,1,0,0,430,107.5,-1,6,2,800,1,200,20,1,0,5,12,3,1,2,3,2,1,1,1,2,1,3.84999990463257,0,0,0,1,1,0,1,1,1,1,4,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28,31632,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,1,1,NA,120,0,0,NA,5.05000019073486,2,"Status",3,"Status (High)",0
"13300",33,0,30,2,5,665,2,167,1182.5,7,1400,1400,420,420,0,1,0,0,810,202.5,-1,7,7,500,0,300,20,0,0,4,2,1,1,1,4,2,1,1,1,3,2,1.60000002384186,0,0,0,0,0,0,0,0,1,1,9,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,23,33665,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,1,1,NA,420,0,0,NA,7.80000019073486,2,"Status",3,"Status (High)",1
"19545",104,0,10,5,6,NA,2,NA,NA,5,750,150,NA,NA,1,NA,0,0,-21776,NA,NA,NA,3,900,1,100,22,0,0,5,6,3,3,2,1,3,2,1,1,2,2,NA,0,0,0,0,0,0,0,1,1,1,NA,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,10406,"Russia","131210_1638","5817.5",NA,3,28,4,0,NA,NA,NA,0,0,-41,27,-133,1,1,0,3,1,1,1,3,3,1,1,1,1,0,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0583892464637756,NA,NA,0.200000002980232,1,0,0,0,9.39999961853027,11.0500001907349,0,8,30,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0.800000011920929,NA,NA,NA,75,0,0,10406,9.94999980926514,1,"Baseline",1,"Baseline",0
