"","session","auditrate","taxrate","period","subject","sujeto","group","grupo","profit","ncorrectret","profitret","declared","deduction","totaldeduction","cheat","type","audited","fine","deductionsgroup","receivedfromgroup","taxrateproposed","ncorrectsum","groupdg","profitdg","proposerdg","offerdg","age_subject","gender","trust","ideology","income","publictransport","taxes","drivingfast","moneyfound","lying","accidentaldamage","litter","drivingalcohol","jobapplication","buyingstolen","profitriskav","dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","dec10","hljump","safechoices","guessm2","guessm3","rankincome","lowincome","chile","init_pred","avg_pred","pred_correct","realdie","digitaldie","digitaldielie","lastroll","timeokdeclareok","subj_id","country","sess_code","totalprofit","timeokinitialinfook","timeokretaddingok","timeokresultsok","sess_id","audit","pred0","pred1","pred2","tax_20","tax_30","timedictator","timeokinicialriskaversionok","timeokloteriasok","lendmoney","lendstuff","dooropen","trustworthy","redistrib1","redistrib2","redistrib3","redistrib4","redistrib5","redistrib6","anx1","anx2","anx3","anx4","econself","nosecure","econcountrypers","econselfpers","digitaldie_actual","timeactualdiceok","timedigitaldiceok","econlosejob","own1","own2","own3","own4","own5","own6","own7","subjectivestatus2","norms","subjectivestatus1","own8","declared_frac","russia","oxford","shock","status","ncorrect_subjav","ncorrect_countrymed","ability_high","hh","amax","period1","c1","c2","c3","c4","c5","c6","c7","c8","c9","father_educ1","mother_educ1","family1","employment1","a51","b11","b21","b31","b41","b51","b61","b71","b81","social_active","parents_edhigh","grades_rating","grades_total","grades_calculus","grades_eligible","grades_relrating_inv","nosibling","T10","T20","T30","T40","T50","EndT","AR0","AR30","AR70","AR100","percevaded","difsalaries","highsalary","receiveshock","cost_comply","perform_high","non_fixed","subj_id1","avg_RET","treatment","treatment_lab","treatment2","treatment2_lab","HighTax"
"17734",47,0,20,5,11,887,2,221,1492.5,10,1500,1500,300,300,0,-1,0,0,1170,292.5,-1,10,2,100,0,300,25,0,0,9,12,3,2,2,3,2,2,1,1,2,1,0.100000001490116,0,0,0,0,1,0,1,1,1,1,5,5,-1,-1,-1,-1,1,2,2.33333325386047,0.666666686534882,4,6,0,6,24,47887,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,300,1,1,NA,10.3999996185303,5,"Non-fixed",7,"Non-fixed",1
"893",2,0,20,6,21,45,5,11,1800,12,1800,0,0,0,1,NA,0,0,0,0,NA,12,2,1000,1,0,23,1,1,5,89,4,2,3,4,2,2,2,3,2,2,0.100000001490116,0,0,0,0,1,1,1,1,1,1,5,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,28,245,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,0,NA,NA,360,1,0,NA,12.6000003814697,1,"Baseline",1,"Baseline",1
"18531",50,0,20,8,15,1171,4,-1,1477.75,10,1500,155,31,31,1,-1,0,0,35,8.75,-1,10,8,300,0,400,22,0,1,3,4,3,2,1,3,3,2,4,1,1,2,2,0,0,0,0,1,0,0,1,1,1,5,6,NA,NA,NA,NA,0,3,1.66666662693024,NA,6,5,1,5,19,501171,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0.896666646003723,0,NA,NA,300,0,1,NA,7.94999980926514,1,"Baseline",NA,NA,1
"13027",32,10,20,4,8,652,1,162,1437.5,8,1600,1600,320,320,0,1,0,0,630,157.5,-1,8,1,500,1,500,22,1,1,2,16,3,2,2,3,2,1,1,1,3,1,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28,32652,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,320,0,0,NA,7.94999980926514,2,"Status",3,"Status (High)",1
"16106",43,10,10,7,6,806,3,203,1151.25,8,1200,1200,120,120,0,-1,1,0,285,71.25,-1,8,3,500,0,500,22,0,0,1,89,3,1,1,2,1,1,1,1,3,2,3.84999990463257,0,0,0,0,1,1,1,1,1,1,5,4,-1,-1,-1,-1,1,2,2.66666674613953,0,6,1,0,1,29,43806,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,120,0,1,NA,6.55000019073486,5,"Non-fixed",7,"Non-fixed",0
"11108",26,0,20,4,20,556,1,135,900.099975585938,8,800,0,0,0,1,2,0,0,400.399993896484,100.099998474121,-1,8,1,0,0,0,34,1,1,0,2,3,3,3,4,3,2,3,3,3,2,0.100000001490116,0,0,0,0,0,0,0,1,1,1,8,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26,26556,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,0,NA,0,160,0,0,NA,10.5500001907349,3,"Shock",4,"Shock (No)",1
"17847",48,0,30,2,5,893,2,224,1590,9,1350,0,0,0,1,-1,0,0,960,240,-1,9,1,500,1,500,23,1,1,1,15,2,3,2,3,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,9,8,-1,-1,-1,-1,1,1,1.66666662693024,0.333333343267441,5,5,0,5,11,48893,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,NA,NA,405,1,1,NA,11.1499996185303,5,"Non-fixed",7,"Non-fixed",1
"7061",16,0,20,7,10,354,3,89,1630,15,1500,0,0,0,1,2,0,0,520,130,NA,15,2,0,0,300,19,1,1,2,7,1,2,3,4,2,1,1,1,4,1,3.84999990463257,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,16354,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,1,1,0,NA,300,1,0,NA,12.8500003814697,2,"Status",2,"Status (Low)",1
"19580",104,30,10,10,7,NA,1,NA,NA,13,1950,1950,NA,NA,0,NA,0,NA,NA,NA,NA,NA,4,650,1,350,19,0,0,4,8,3,3,2,1,3,3,1,1,2,1,NA,0,0,0,0,0,0,1,1,1,1,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27,10407,"Russia","131210_1638","16967.5",NA,4,25,4,1,NA,NA,NA,0,0,13,29,-94,3,3,4,2,4,0,2,0,2,2,0,1,1,1,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0602998398244381,NA,NA,1,1,0,0,0,NA,NA,0,7,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,195,0,0,10407,10.1000003814697,1,"Baseline",1,"Baseline",0
"18171",49,20,10,7,13,1153,4,-1,2468.75,15,2250,2250,225,225,0,-1,1,0,1775,443.75,-1,15,8,499,0,0,28,1,0,5,3,1,1,2,1,2,1,1,1,1,1,0.100000001490116,0,0,0,1,1,1,1,1,1,1,4,3,NA,NA,NA,NA,0,1,1.66666662693024,NA,5,5,0,5,28,491153,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,225,1,1,NA,13.75,1,"Baseline",NA,NA,0
"18537",50,20,20,10,15,1171,2,-1,1151.5,7,1050,600,120,120,1,-1,0,0,886,221.5,-1,7,8,300,0,400,22,0,1,3,4,3,2,1,3,3,2,4,1,1,2,2,0,0,0,0,1,0,0,1,1,1,5,6,NA,NA,NA,NA,0,2,2.66666674613953,NA,6,5,1,5,25,501171,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0.428571432828903,0,NA,NA,210,0,1,NA,7.94999980926514,1,"Baseline",NA,NA,1
"14811",38,10,10,9,13,741,3,185,1755,18,2700,0,0,1620,1,-1,1,1350,2700,675,-1,18,7,1000,1,0,24,1,1,2,6,1,1,2,3,2,1,1,1,1,1,1.60000002384186,0,0,0,0,0,0,0,1,1,1,8,7,-1,-1,-1,-1,0,1,1,1,6,6,1,1,29,38741,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,270,1,1,NA,16.3500003814697,5,"Non-fixed",7,"Non-fixed",0
"11416",27,0,30,1,15,571,4,143,3160,18,3100,0,0,0,1,1,0,0,240,60,-1,18,6,0,0,10,21,0,0,9,5,1,2,3,1,3,2,1,1,1,1,2,0,0,0,0,0,0,0,0,1,1,9,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,22,27571,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,NA,1,930,1,0,NA,16.5499992370605,3,"Shock",5,"Shock (Yes)",1
"20051",105,30,20,1,15,NA,3,NA,NA,12,1800,1400,280,280,1,NA,0,0,1170,NA,NA,NA,8,250,0,300,19,1,0,3,8,3,3,3,2,2,2,1,1,1,3,NA,0,1,1,0,0,0,0,1,0,1,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,18,10515,"Russia","131211_1341","1812.5",23,0,26,5,1,NA,NA,NA,1,0,16,27,-73,3,3,4,3,3,1,0,1,3,1,1,3,3,3,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.131036370992661,NA,NA,0.777777791023254,1,0,0,0,NA,NA,0,2,30,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0.222222223877907,NA,NA,NA,360,0,0,10515,10.1499996185303,1,"Baseline",1,"Baseline",1
"11226",27,100,30,4,6,562,3,142,2852.5,19,3200,3200,960,960,0,1,1,0,2450,612.5,-1,19,6,1000,1,0,23,1,0,7,5,3,3,4,4,4,2,1,2,1,1,1.60000002384186,0,0,0,0,0,1,1,1,1,1,6,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,27,27562,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,1,960,1,0,NA,20.1499996185303,3,"Shock",5,"Shock (Yes)",1
"11420",27,100,30,7,15,571,4,143,2892.5,19,3200,3200,960,960,0,1,1,0,2610,652.5,-1,19,6,0,0,10,21,0,0,9,5,1,2,3,1,3,2,1,1,1,1,2,0,0,0,0,0,0,0,0,1,1,9,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26,27571,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,NA,1,960,1,0,NA,16.5499992370605,3,"Shock",5,"Shock (Yes)",1
"6427",15,100,10,8,2,322,1,81,1085,10,1000,1000,100,100,0,2,1,0,740,185,NA,10,11,600,1,400,24,0,1,2,3,1,1,3,3,3,1,1,1,2,1,1.60000002384186,0,0,0,0,0,0,0,1,1,1,8,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,15322,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,NA,100,0,0,NA,10.3500003814697,2,"Status",2,"Status (Low)",0
"8094",19,0,10,2,13,405,4,102,1200,8,1200,0,0,0,1,NA,0,0,0,0,NA,8,7,1000,1,0,20,1,1,3,89,2,1,3,3,3,2,1,1,2,2,0.100000001490116,0,0,0,0,1,1,1,1,1,1,5,4,NA,NA,3,1,0,NA,NA,NA,NA,NA,NA,NA,28,19405,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,120,1,0,NA,12.9499998092651,4,"Redistribution",6,"Redistribution",0
"7142",17,100,20,4,2,358,1,90,1695,11,2200,1000,200,1040,1,1,1,600,2140,535,NA,11,7,700,1,300,26,0,1,5,4,1,2,1,3,3,1,1,1,2,1,1.60000002384186,0,0,0,0,0,0,0,1,1,1,8,7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,17358,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0.545454561710358,1,1,NA,440,1,0,NA,14.5,2,"Status",3,"Status (High)",1
"7617",18,100,30,7,9,381,3,96,1412.5,13,1300,1300,390,390,0,2,1,0,2010,502.5,NA,13,1,1000,1,0,21,0,0,0,88,3,3,3,3,3,3,3,3,3,3,3.84999990463257,0,0,0,0,1,0,0,0,0,1,5,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,28,18381,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,1,0,NA,390,1,0,NA,11.9499998092651,2,"Status",2,"Status (Low)",1
"18406",50,20,20,9,9,1165,1,-1,956.25,11,1650,0,0,1155,1,-1,1,825,1845,461.25,-1,11,7,500,0,100,20,1,1,4,14,2,1,2,3,3,1,1,1,2,1,1.60000002384186,0,0,0,0,0,0,0,1,1,1,8,7,NA,NA,NA,NA,0,1,2.33333325386047,NA,6,6,1,3,24,501165,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,330,1,1,NA,11.9499998092651,1,"Baseline",NA,NA,1
"19432",103,30,10,2,16,NA,4,NA,NA,10,1500,500,50,50,1,NA,0,0,130,NA,NA,NA,8,400,0,450,20,0,0,5,4,3,2,1,3,2,1,2,1,2,1,NA,0,0,0,0,0,0,1,1,1,1,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26,10316,"Russia","131210_1506","2966.25",NA,2,27,3,1,NA,NA,NA,0,0,23,29,-82,2,3,4,3,2,0,0,1,4,0,1,1,2,1,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51136440038681,NA,NA,0.333333343267441,1,0,0,0,NA,NA,0,7,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0.666666686534882,NA,NA,NA,150,0,0,10316,9.39999961853027,1,"Baseline",1,"Baseline",0
"21229",111,0,20,9,6,NA,4,NA,NA,10,2300,1,NA,NA,1,1,0,0,NA,NA,NA,NA,4,992,1,8,21,0,1,4,6,2,3,2,2,3,1,1,1,2,1,NA,0,0,0,0,0,1,1,1,1,1,NA,5,NA,NA,NA,NA,0,NA,NA,NA,2,3,1,NA,27,11106,"Russia","170119_1641","16457.9",NA,0,15,11,0,NA,NA,NA,1,0,20,28,-64,3,3,4,3,1,0,3,0,4,1,NA,NA,NA,NA,1,2,4,0,3,15,14,0,NA,NA,NA,NA,NA,NA,NA,NA,0.654394686222076,NA,NA,0.000434782617958263,1,0,1,0,10,11.0500001907349,0,6,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,67,9,1,0.954545438289642,NA,0,1,0,0,0,0,1,0,0,0,0.999565243721008,NA,NA,1,460,0,0,11106,10.3000001907349,3,"Shock",5,"Shock (Yes)",1
"10418",25,100,10,9,1,521,4,134,1837.5,15,1500,1500,150,150,0,2,1,0,1950,487.5,-1,15,4,0,0,300,23,0,1,2,4,1,1,3,4,3,2,1,1,1,1,0.100000001490116,0,0,0,0,0,0,0,1,1,1,8,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,25521,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,150,1,0,NA,16.3500003814697,3,"Shock",4,"Shock (No)",0
"21637",112,10,10,7,10,NA,1,NA,NA,14,1400,1400,140,140,0,2,0,0,380,NA,NA,NA,8,1000,1,0,18,1,0,8,3,1,4,2,4,3,3,1,1,4,3,NA,0,0,0,0,0,1,1,1,1,1,NA,5,NA,NA,NA,NA,0,NA,NA,NA,5,6,0,NA,28,11210,"Russia","170120_1341","8097.5",NA,2,26,12,1,NA,NA,NA,0,0,18,30,-64,3,0,3,2,3,0,4,0,3,4,NA,NA,NA,NA,2,2,3,1,2,-5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,-1.13277423381805,NA,NA,1,1,0,0,0,NA,NA,0,6,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,NA,140,1,0,11210,11.75,2,"Status",2,"Status (Low)",0
"14025",36,10,30,1,2,702,1,176,1091.25,6,900,0,0,0,1,-1,0,0,765,191.25,-1,6,6,900,1,100,24,1,1,5,88,1,1,3,3,1,2,1,1,2,2,1.60000002384186,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,29,36702,"Chile","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,270,0,0,NA,8.44999980926514,1,"Baseline",1,"Baseline",1
